Breed group,Dog Breed,Total Dogs Available,Number of dogs adopted
Herding,Australian Kelpie,13,10
Herding,Australian Shepherd,16,12
Herding,Beauceron,12,8
Herding,Belgian Malinois,14,9
Herding,Belgian Tervuren,12,4
Herding,Finnish Lapphund,15,7
Working,Great Dane,20,10
Working,Great Pyrenees,30,12
Working,Komondor,18,12
Working,Kuvasz,25,10
Toy,Maltese,18,8
Toy,Papillon,17,1
Toy,Shih Tzu,18,2
Toy,Silky Terrier,20,4
Toy,Havanese,15,5
Toy,Cavalier King Charles Spaniel,14,6
Toy,Chinese Crested,16,2
Terrier,West Highland White Terrier,40,16
Terrier,Miniature Schnauzer,34,17
Terrier,Glen of Imaal Terrier,20,18
