# id,Word,Part of Speech,Per Million Words,Length
1,the,article,48974.7,3.0
2,be,verb,27879.6,2.0
3,and,conjunction,23869.1,3.0
4,of,preposition,22986.4,2.0
5,a,article,22542.7,1.0
6,in,preposition,15547.6,2.0
7,to,infinitive marker,14071.5,2.0
8,have,verb,9564.3,4.0
9,I,pronoun,8840.6,1.0
10,it,pronoun,8605.5,2.0
11,to,preposition,8570.9,2.0
12,that,conjunction,7624.4,4.0
13,for,preposition,7292.1,3.0
14,you,pronoun,6847.0,3.0
15,he,pronoun,6465.0,2.0
16,with,preposition,5962.3,4.0
17,do,verb,5719.1,2.0
18,on,preposition,5522.9,2.0
19,say,verb,4255.9,3.0
20,this,determiner,4189.7,4.0
21,they,pronoun,4145.7,4.0
22,we,pronoun,4046.5,2.0
23,his,article,4003.8,3.0
24,but,conjunction,3948.4,3.0
25,at,preposition,3928.1,2.0
26,that,determiner,3805.3,4.0
27,not,not,3641.8,3.0
28,from,preposition,3635.4,4.0
29,n't,not,3597.8,3.0
30,by,preposition,3312.3,2.0
31,she,pronoun,3299.7,3.0
32,or,conjunction,3065.2,2.0
33,as,conjunction,2882.0,2.0
34,what,determiner,2624.5,4.0
35,go,verb,2557.9,2.0
36,their,article,2406.7,5.0
37,can,verb,2272.8,3.0
38,who,pronoun,2262.9,3.0
39,get,verb,2205.8,3.0
40,her,article,2154.6,3.0
41,if,conjunction,2074.5,2.0
42,would,verb,2056.7,5.0
43,my,article,2044.0,2.0
44,know,verb,1983.4,4.0
45,all,determiner,1982.4,3.0
46,about,preposition,1943.1,5.0
47,make,verb,1904.8,4.0
48,as,preposition,1842.3,2.0
49,will,verb,1832.4,4.0
50,up,adverb,1767.9,2.0
51,there,existential there,1743.4,5.0
52,think,verb,1717.3,5.0
53,year,noun,1709.5,4.0
54,one,number,1707.2,3.0
55,time,noun,1699.2,4.0
56,so,adverb,1681.2,2.0
57,me,pronoun,1576.9,2.0
58,people,noun,1536.6,6.0
59,which,determiner,1524.4,5.0
60,when,conjunction,1508.1,4.0
61,out,adverb,1508.0,3.0
62,them,pronoun,1506.4,4.0
63,just,adverb,1506.0,4.0
64,him,pronoun,1506.0,3.0
65,some,determiner,1498.2,4.0
66,take,verb,1490.5,4.0
67,into,preposition,1484.8,4.0
68,see,verb,1474.8,3.0
69,your,article,1465.8,4.0
70,come,verb,1396.1,4.0
71,could,verb,1373.2,5.0
72,now,adverb,1346.7,3.0
73,than,conjunction,1288.3,4.0
74,like,preposition,1264.1,4.0
75,other,adjective,1217.3,5.0
76,then,adverb,1208.8,4.0
77,its,article,1199.4,3.0
78,how,adverb,1197.5,3.0
79,our,article,1166.9,3.0
80,more,adverb,1150.1,4.0
81,want,verb,1144.4,4.0
82,these,determiner,1141.9,5.0
83,two,number,1135.6,3.0
84,look,verb,1092.7,4.0
85,way,noun,1045.3,3.0
86,also,adverb,1032.5,4.0
87,first,number,1030.1,5.0
88,because,conjunction,974.5,7.0
89,new,adjective,968.9,3.0
90,day,noun,961.7,3.0
91,use,verb,935.1,3.0
92,more,determiner,933.7,4.0
93,here,adverb,916.3,4.0
94,well,adverb,915.1,4.0
95,man,noun,910.6,3.0
96,no,article,893.8,2.0
97,thing,noun,890.5,5.0
98,her,pronoun,884.3,3.0
99,find,verb,878.2,4.0
100,very,adverb,870.7,4.0
101,tell,verb,862.6,4.0
102,many,determiner,856.3,4.0
103,give,verb,854.5,4.0
104,only,adverb,843.5,4.0
105,those,determiner,840.0,5.0
106,one,pronoun,821.2,3.0
107,back,adverb,817.4,4.0
108,even,adverb,802.4,4.0
109,good,adjective,786.6,4.0
110,us,pronoun,780.2,2.0
111,any,determiner,773.6,3.0
112,woman,noun,758.7,5.0
113,through,preposition,757.6,7.0
114,child,noun,741.9,5.0
115,there,adverb,741.0,5.0
116,life,noun,740.2,4.0
117,down,adverb,732.0,4.0
118,may,verb,721.3,3.0
119,work,verb,707.1,4.0
120,after,preposition,693.1,5.0
121,should,verb,689.5,6.0
122,call,verb,684.6,4.0
123,school,noun,676.0,6.0
124,world,noun,674.5,5.0
125,over,preposition,667.4,4.0
126,still,adverb,659.9,5.0
127,try,verb,653.4,3.0
128,last,number,644.1,4.0
129,in,adverb,633.4,2.0
130,ask,verb,632.5,3.0
131,as,adverb,625.5,2.0
132,too,adverb,623.1,3.0
133,need,verb,615.0,4.0
134,feel,verb,611.6,4.0
135,state,noun,604.9,5.0
136,when,adverb,596.0,4.0
137,three,number,592.8,5.0
138,between,preposition,587.0,7.0
139,really,adverb,585.4,6.0
140,never,adverb,583.5,5.0
141,become,verb,575.8,6.0
